id,nama,deskripsi,kategori,harga_awal,harga_tertinggi,pemenang,waktu_tutup,status
1,Keyboard Essential75,Keyboard mechanichal layout 75% linear switch,Elektronik,310000,350000,asep,1780557034,0
2,Logitech MX Master 3,Mouse wireless ergonomis dengan scroll adaptif dan baterai tahan lama,Elektronik,850000,920000,budi,1780567200,0
3,Samsung 25W Fast Charger,Adaptor charger resmi Samsung 25W USB-C untuk Galaxy series,Elektronik,150000,150000,-,1780585200,0
4,JBL Tune 520BT,Headphone wireless Bluetooth 5.3 dengan bass punchy dan ANC,Elektronik,450000,510000,citra,1780603200,0
5,Anker PowerCore 20000,Power bank kapasitas 20000mAh dual USB-A plus USB-C,Elektronik,280000,320000,deni,1780646400,0
6,Xiaomi Mi Band 8,Smartband dengan layar AMOLED 1.62 inch dan monitor detak jantung,Elektronik,350000,380000,eka,1780660800,0
7,Kemeja Flannel Uniqlo L,Kemeja flannel lengan panjang ukuran L kondisi 95% mulus,Fashion,180000,210000,fajar,1780678800,0
8,Sepatu Vans Old Skool 42,Sepatu Vans Old Skool ukuran 42 warna hitam putih pemakaian 3 bulan,Fashion,350000,390000,gita,1780693200,0
9,Tas Ransel Eiger 25L,Ransel Eiger seri Daypack 25 liter kondisi sangat baik warna navy,Fashion,420000,460000,hani,1780736400,0
10,Jaket Bomber H&M M,Jaket bomber H&M ukuran M warna olive green kondisi mulus,Fashion,250000,280000,irfan,1780754400,0
11,Novel Atomic Habits,Buku Atomic Habits karya James Clear edisi bahasa Indonesia cetakan ke-5,Buku,85000,110000,joko,1780768800,0
12,Kamera Fujifilm Instax Mini 11,Kamera polaroid Fujifilm Instax Mini 11 warna lilac purple lengkap dus,Elektronik,480000,550000,kiki,1780783200,0
13,Tripod Zomei 64 inch,Tripod aluminium Zomei tinggi 64 inch cocok untuk kamera dan HP,Elektronik,220000,220000,-,1780567200,0
14,Raket Badminton Yonex Astrox 3,Raket Yonex Astrox 3 kondisi baik sudah restring,Olahraga,210000,240000,lina,1780585200,0
15,Sepatu Lari Adidas Runfalcon 42,Sepatu lari Adidas Runfalcon 2.0 ukuran 42 pemakaian kurang dari 5x,Olahraga,380000,420000,mira,1780603200,0
16,Action Camera Xiaomi C200,Action cam Xiaomi C200 resolusi 2K anti air bekas pakai 2 kali,Elektronik,550000,650000,deni,1780646400,0
17,Kursi Gaming Rexus Titan RC1,Kursi gaming Rexus Titan RC1 warna merah hitam kondisi baik,Furnitur,850000,950000,oscar,1780394400,1
18,Monitor LG 22MP410 22 inch,Monitor LG 22 inch IPS Full HD kondisi normal tanpa dead pixel,Elektronik,1200000,1350000,pita,1780326000,1
19,Keyboard Rexus Legionare MX5,Keyboard mechanical TKL RGB switch blue bekas 6 bulan,Elektronik,380000,430000,qori,1780430400,1
20,Headset Gaming Rexus Vonix F25,Headset gaming Rexus surround 7.1 kondisi mulus lengkap box,Elektronik,190000,230000,rudi,1780304400,1
