id_barang,username,nominal,waktu
18,ucup,1250000,1780239600
18,budi,1300000,1780268400
20,rudi,230000,1780275600
18,pita,1350000,1780297200
17,asep,900000,1780336800
17,oscar,950000,1780365600
19,budi,405000,1780372800
19,qori,430000,1780401600
2,deni,873333,1780480800
1,budi,330000,1780499434
2,eka,896666,1780509600
4,fajar,470000,1780516800
1,asep,350000,1780528234
2,budi,920000,1780538400
4,gita,490000,1780545600
15,qori,400000,1780545600
14,lina,240000,1780556400
16,rudi,573333,1780560000
4,citra,510000,1780574400
15,mira,420000,1780574400
16,asep,596666,1780588800
5,deni,320000,1780617600
16,nandi,620000,1780617600
6,eka,380000,1780632000
8,joko,370000,1780635600
7,fajar,210000,1780650000
9,kiki,433333,1780650000
8,gita,390000,1780664400
9,lina,446666,1780678800
12,nandi,503333,1780696800
9,hani,460000,1780707600
10,irfan,280000,1780725600
12,oscar,526666,1780725600
11,joko,110000,1780740000
12,kiki,550000,1780754400
